borough_code,borough_name,ward_code,ward_name,lsoa_code,lsoa_name,prediction_score,officers_assigned
E09000019,Islington,E05013703,Finsbury Park,E01002730,Islington 007A,0.861018180847168,9
E09000019,Islington,E05013703,Finsbury Park,E01002734,Islington 005B,1.6998240947723389,19
E09000019,Islington,E05013709,Mildmay,E01002775,Islington 014D,0.7109725475311279,12
E09000019,Islington,E05013709,Mildmay,E01002782,Islington 012E,0.43535152077674866,7
E09000019,Islington,E05013709,Mildmay,E01002777,Islington 012A,0.8639191389083862,14
E09000019,Islington,E05013709,Mildmay,E01002780,Islington 014F,0.6460742950439453,10
E09000019,Islington,E05013709,Mildmay,E01002776,Islington 014E,0.9644835591316223,16
E09000019,Islington,E05013709,Mildmay,E01002779,Islington 012C,1.100659728050232,18
E09000019,Islington,E05013709,Mildmay,E01002781,Islington 012D,0.27365750074386597,4
E09000019,Islington,E05013709,Mildmay,E01002778,Islington 012B,0.9186885356903076,15
E09000019,Islington,E05013708,Laycock,E01033488,Islington 011G,0.681966245174408,8
E09000019,Islington,E05013708,Laycock,E01002790,Islington 016D,0.4952746331691742,5
E09000019,Islington,E05013708,Laycock,E01002712,Islington 015B,0.6489774584770203,7
E09000019,Islington,E05013708,Laycock,E01002796,Islington 013E,0.42509254813194275,5
E09000019,Islington,E05013708,Laycock,E01002765,Islington 015D,1.848060965538025,22
E09000019,Islington,E05013708,Laycock,E01002791,Islington 016E,0.8266231417655945,9
E09000019,Islington,E05013708,Laycock,E01033486,Islington 011E,0.3966304361820221,4
E09000019,Islington,E05013708,Laycock,E01002713,Islington 015C,0.9832067489624023,11
E09000019,Islington,E05013708,Laycock,E01002795,Islington 013D,1.9758353233337402,23
E09000019,Islington,E05013698,Barnsbury,E01002695,Islington 021A,1.0117336511611938,17
E09000019,Islington,E05013698,Barnsbury,E01002700,Islington 017C,0.5837448239326477,10
E09000019,Islington,E05013698,Barnsbury,E01002699,Islington 017B,0.6187940239906311,10
E09000019,Islington,E05013698,Barnsbury,E01002698,Islington 017A,0.8567114472389221,14
E09000019,Islington,E05013698,Barnsbury,E01002714,Islington 017D,0.5593463182449341,9
