iter	RMSE
265	1.30444495
266	1.304385754
267	1.304335768
268	1.30431299
269	1.304272291
270	1.30423724
271	1.304189724
272	1.30412441
273	1.304094869
274	1.304046623
275	1.304022769
276	1.304001315
277	1.303957143
278	1.303890562
279	1.303838029
280	1.303770672
281	1.303732357
282	1.303691726
283	1.303600408
284	1.303571003
285	1.303541206
286	1.303485564
287	1.303455058
288	1.303411526
289	1.303381616
290	1.303348251
291	1.303326479
292	1.303274153
293	1.303252115
294	1.303213453
295	1.303138994
296	1.303070554
297	1.303014563
298	1.302963718
299	1.302915456
300	1.302884513
301	1.302846795
302	1.302827075
303	1.302774147
304	1.302745525
305	1.302689886
306	1.302661761
307	1.302645763
308	1.3025814
309	1.302548802
310	1.302529507
311	1.302486884
312	1.302394462
313	1.302352519
314	1.302262872
315	1.302238909
316	1.302221187
317	1.302161275
318	1.302144814
319	1.302111144
320	1.302091381
321	1.302074064
322	1.302024884
323	1.301994189
324	1.301983961
325	1.301947601
326	1.301917374
327	1.301893477
328	1.30187007
329	1.301852269
330	1.301835462
331	1.301801665
332	1.301765833
333	1.301726741
334	1.301711369
335	1.30163852
336	1.301605391
337	1.301567858
338	1.30154414
339	1.301534266
340	1.301507948
341	1.301468422
342	1.301425342
343	1.30138756
344	1.30135647
345	1.301326771
346	1.301316019
347	1.301302747
348	1.301258537
349	1.301234718
350	1.301202255
351	1.301158111
352	1.301086351
353	1.301053704
354	1.301021916
355	1.301004929
356	1.300947481
357	1.300927927
358	1.300884675
359	1.300859288
360	1.300846851
361	1.300818552
362	1.300776902
363	1.300756694
364	1.300704344
365	1.30064538
366	1.300628064
367	1.300585569
368	1.30056378
369	1.300536903
370	1.300490822
371	1.300477577
372	1.300453339
373	1.300430903
374	1.300402912
375	1.300380375
376	1.300294306
377	1.300263885
378	1.300170163
379	1.300155024
380	1.300123981
381	1.30009649
382	1.300056761
383	1.300044963
384	1.300006648
385	1.299994438
386	1.299958328
387	1.299939114
388	1.299928518
389	1.299912809
390	1.299900206
391	1.299852884
392	1.299834065
393	1.299821459
394	1.299804475
395	1.299762171
396	1.299754396
397	1.299717846
398	1.299709251
399	1.299703569
400	1.299693316
401	1.299665436
402	1.299645045
403	1.299625943
404	1.299593156
405	1.299573103
406	1.299545908
407	1.299534673
408	1.299501735
409	1.299480387
410	1.299368617
411	1.299357665
412	1.299349238
413	1.299331001
414	1.299279003
415	1.299255091
416	1.299240986
417	1.29922948
418	1.299202855
419	1.299182698
420	1.299165456
421	1.299151661
422	1.299122732
423	1.299098199
424	1.299073614
425	1.299067254
426	1.299024173
427	1.298966688
428	1.298938906
429	1.298922257
430	1.298898612
431	1.298886679
432	1.298878502
433	1.298855658
434	1.298824232
435	1.298798563
436	1.298788729
437	1.298783454
438	1.298757931
439	1.298742421
440	1.298721801
441	1.298674101
442	1.298660798
443	1.298617237
444	1.298609677
445	1.298594431
446	1.298574118
447	1.298566166
448	1.298545185
449	1.298525651
450	1.298501717
451	1.29846182
452	1.298416629
453	1.298375441
454	1.298334414
455	1.298310709
456	1.298295169
457	1.29827106
458	1.298255448
459	1.298220319
460	1.298180747
461	1.298148891
462	1.298127737
463	1.298108966
464	1.298096943
465	1.298086628
466	1.298066164
467	1.298015199
468	1.298001019
469	1.297988191
470	1.297954774
471	1.297938391
472	1.297908904
473	1.297890394
474	1.297874395
475	1.297865677
476	1.29784892
477	1.297828638
478	1.297816793
479	1.297803372
480	1.297800809
481	1.297781326
482	1.297714681
483	1.297706004
484	1.29767715
485	1.297665963
486	1.297652189
487	1.297640885
488	1.297613614
489	1.297597245
490	1.297535726
491	1.297515523
492	1.297490333
493	1.297476852
494	1.297460534
495	1.297450827
496	1.29742722
497	1.297392021
498	1.297372466
499	1.297359122
500	1.297325795
501	1.29730685
502	1.297244844
503	1.297212619
504	1.297196598
505	1.297170677
506	1.297139051
507	1.297130018
508	1.297105627
509	1.297098603
510	1.297080294
511	1.297075012
512	1.297059882
513	1.297026225
514	1.297016169
515	1.296998069
516	1.29695262
517	1.296926841
518	1.296921488
519	1.296912572
520	1.296890191
521	1.296858923
522	1.29680906
523	1.29678736
524	1.296754454
525	1.29673066
526	1.296724126
527	1.296704938
