lsoa_code,prediction_score,officers_assigned
E01002716,0.7751210927963257,13
E01002722,0.7649008631706238,13
E01002721,0.8890988230705261,16
E01002717,0.6013451218605042,10
E01002720,0.6661989688873291,12
E01002718,0.4597153663635254,8
E01002719,1.387529730796814,25
E01002739,1.1483511924743652,18
E01002745,0.8540530800819397,13
E01002742,1.111802339553833,17
E01002741,0.5082319378852844,8
E01002740,0.7521457672119141,12
E01002744,0.7555598616600037,12
E01002743,0.2973351776599884,4
E01002738,0.8217840790748596,13
E01002788,0.754959225654602,9
E01002784,0.5828467607498169,7
E01002783,0.5441133975982666,7
E01002785,1.5311486721038818,20
E01002789,1.3221452236175537,17
E01002787,0.921859085559845,12
E01002786,1.9425864219665527,25
E01002768,0.6299622654914856,5
E01002771,1.5308849811553955,12
E01002774,1.5386165380477905,12
E01002770,3.7708306312561035,30
E01002769,1.0564167499542236,8
E01002772,2.8199427127838135,22
E01002773,1.1321758031845093,9
E01002757,0.40654903650283813,4
E01002759,0.9074656963348389,9
E01002811,1.0230764150619507,10
E01002753,1.0413180589675903,11
E01002760,1.6034252643585205,17
E01002755,0.7281038761138916,7
E01002756,1.0938392877578735,11
E01002804,0.9728139638900757,10
E01002758,0.9421564340591431,10
E01002754,0.5971261858940125,6
E01002752,0.7088964581489563,11
E01033491,1.739188313484192,28
E01002751,0.5678724050521851,9
E01033493,0.3739036023616791,6
E01002749,1.020972490310669,16
E01002748,0.7165583372116089,11
E01033494,0.4774324595928192,7
E01035654,0.5377956628799438,8
E01002809,1.6307801008224487,15
E01002810,1.0301510095596313,9
E01002806,0.6900899410247803,6
E01002807,0.9035727381706238,8
E01002805,1.885138750076294,17
E01002808,0.8324666023254395,7
E01002733,0.8541663885116577,8
E01035651,2.832692861557007,26
E01002794,3.158844470977783,43
E01002792,0.9113680124282837,12
E01002797,1.0465012788772583,14
E01002798,0.83449387550354,11
E01002793,0.7810860276222229,10
E01002799,0.5640785098075867,7
E01002723,0.6189156174659729,5
E01002729,0.7845814824104309,7
E01002725,0.534508466720581,5
E01002726,2.2377688884735107,21
E01002724,4.391724109649658,42
E01002727,0.5015202164649963,4
E01002728,1.376558542251587,13
E01002737,0.7175983190536499,8
E01002747,1.289916753768921,14
E01002732,1.1614569425582886,13
E01002736,0.44781816005706787,5
E01002735,2.6162686347961426,29
E01002730,0.861018180847168,9
E01002734,1.6998240947723389,19
E01002775,0.7109725475311279,12
E01002782,0.43535152077674866,7
E01002777,0.8639191389083862,14
E01002780,0.6460742950439453,10
E01002776,0.9644835591316223,16
E01002779,1.100659728050232,18
E01002781,0.27365750074386597,4
E01002778,0.9186885356903076,15
E01033488,0.681966245174408,8
E01002790,0.4952746331691742,5
E01002712,0.6489774584770203,7
E01002796,0.42509254813194275,5
E01002765,1.848060965538025,22
E01002791,0.8266231417655945,9
E01033486,0.3966304361820221,4
E01002713,0.9832067489624023,11
E01002795,1.9758353233337402,23
E01002695,1.0117336511611938,17
E01002700,0.5837448239326477,10
E01002699,0.6187940239906311,10
E01002698,0.8567114472389221,14
E01002714,0.5593463182449341,9
E01002694,0.39949312806129456,6
E01002696,1.6934813261032104,29
E01002704,4.26737642288208,38
E01033490,1.4716379642486572,13
E01002701,1.058464765548706,9
E01002706,1.2629337310791016,11
E01002703,1.6396487951278687,14
E01033489,1.4680438041687012,13
E01033487,0.6755475997924805,7
E01002762,1.8696794509887695,21
E01002767,0.7795621752738953,8
E01002764,1.7624629735946655,20
E01002766,1.7651971578598022,20
E01002763,1.811893343925476,20
E01002707,1.5344611406326294,21
E01002702,2.0151889324188232,28
E01035656,1.5519065856933594,21
E01002802,0.6150858402252197,8
E01002801,0.7096081376075745,9
E01002800,0.7200783491134644,10
E01002697,0.8559852838516235,13
E01002711,2.6821892261505127,41
E01002715,0.5646855235099792,8
E01002709,0.6871430277824402,10
E01002710,0.6848990321159363,10
E01002708,0.9954873919487,15
E01003772,0.6472336649894714,12
E01003768,0.6096660494804382,11
E01003771,0.7860345840454102,14
E01003773,0.6095295548439026,11
E01003769,1.0727075338363647,20
E01003766,0.7651950716972351,14
E01003767,0.8494747281074524,15
E01003653,1.1443588733673096,24
E01003650,0.5451887249946594,11
E01003649,0.22300931811332703,4
E01003647,0.40698787569999695,8
E01003651,0.3499005138874054,7
E01003652,0.41467535495758057,8
E01003648,0.7846928834915161,16
